"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","wp-btn","listing-card--owner-info__firm-name","he-lazy-image src 2"
"https://www.hepsiemlak.com/izmir-torbali-ertugrul-kiralik/daire/119895-3324","20","18.500","03-12-2025","Kiralık Daire","2 +
                          1","95 m²","21
                        Yaşında","4. Kat","Merkezi Konum, Kazımdirik Caddesi Üzeri Arakat, 2+1 Asansörlü","İzmir / Torbalı / Ertuğrul Mah.","https://www.hepsiemlak.com/emlak-ofisi/kw-alesta-viya-orsa-3-119895","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/1/0/7/6/6/5/4/ffe85350-f2e6-43ea-a099-8735f4f9d4ba.jpg","Whatsapp","Kw Alesta-viya-orsa 3","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/9/8/9/1/1/96681a8d-acf4-4d1c-b71b-06316dd8f3d1.jpg"
"https://www.hepsiemlak.com/izmir-balcova-teleferik-kiralik/daire/10374-4229","22","20.000","15-11-2025","Kiralık Daire","2 +
                          1","95 m²","30
                        Yaşında","2. Kat","Kolej Ofis Gay.Kiralık Ara Kat Daire","İzmir / Balçova / Teleferik Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/1/9/0/0/3/5/4/1758640061908-45300916.jpg","Whatsapp","",""
"https://www.hepsiemlak.com/izmir-konak-goztepe-kiralik/daire/86618-728","13","25.000","29-11-2025","Kiralık Daire","2 +
                          1","95 m²","26
                        Yaşında","Giriş Katı","Poligon Metroda Full Eşyalı Daire","İzmir / Konak / Göztepe Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/9/9/5/3/6/5/4/1763806283338-45635998.jpg","Whatsapp","",""
"https://www.hepsiemlak.com/izmir-urla-iskele-kiralik/villa/112709-2468","32","85.000","05-12-2025","Kiralık Villa","4 +
                          1","180 m²","31
                        Yaşında","Bahçe Katı","Urla Müstakil Bahçeli Kiralık Villa","İzmir / Urla / İskele Mah.","https://www.hepsiemlak.com/emlak-ofisi/deri-group-gayrimenkul-danismanligi-112709","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/2/0/5/5/5/4/02dda826-f37b-43e1-833b-c1569c8e83ab.jpg","Whatsapp","Deri Group Gayrimenkul Danışmanlığı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/0/7/2/1/1/9ff57d1d-b97d-474c-b030-a7a01ce8338b.jpg"
"https://www.hepsiemlak.com/izmir-menderes-gumuldur-fevzi-cakmak-kiralik/daire/128739-563","22","24.000","01-11-2025","Kiralık Daire","3 +
                          1","140 m²","16
                        Yaşında","Giriş Katı","Rota Emlak'tan Gümüldür'de Deniz Ve Doğa Manzaralı 3+1 Daire","İzmir / Menderes / Gümüldür Fevzi Çakmak Mah.","https://www.hepsiemlak.com/emlak-ofisi/rota-emlak-128739","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/7/5/2/5/5/4/3e7bb98d-0fe7-4489-a012-d355cda8b963.jpg","Whatsapp","Rota Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/3/7/8/2/1/91e1a047-5c6a-49ab-8317-21ce4ef1864f.jpg"
"https://www.hepsiemlak.com/izmir-buca-baris-kiralik/daire/133137-812","22","35.000","17-11-2025","Kiralık Daire","3 +
                          1","130 m²","26
                        Yaşında","1. Kat","Buca İşçievleri Barış Mahallesinde 3+1 Doğalgazlı Kiralık Daire","İzmir / Buca / Barış Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/0/8/4/0/5/5/4/b727dec6-a82a-489d-ab0b-c23119edbfbb.jpg","Whatsapp","",""
"https://www.hepsiemlak.com/izmir-dikili-cumhuriyet-kiralik/villa/135867-438","32","35.000","21-11-2025","Kiralık Villa","5 +
                          1","240 m²","15
                        Yaşında","","Turpa Arxes Cumhuriyet Mah.Şehit Aras Kılıç Sok.Köşe Villa","İzmir / Dikili / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/turpa-arxes-gayrimenkul-danismanligi-135867","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/8/8/8/4/5/4/89080138-7f07-4eec-9b75-bb12398cdfc4.jpg","Whatsapp","Turpa Arxes Gayrimenkul Danışmanlığı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/6/8/5/3/1/41a7d960-ce3c-40fd-8698-0b876c51f11a.jpg"
"https://www.hepsiemlak.com/izmir-buca-dicle-kiralik/daire/159840-38","25","28.000","23-10-2025","Kiralık Daire","2 +
                          1","136 m²","1
                        Yaşında","Bodrum","Turyapdan Buca Onat Cd. Merkezi Konumda 2+1 Kiralık Daire","İzmir / Buca / Dicle Mah.","https://www.hepsiemlak.com/emlak-ofisi/turyap-homeros-159840","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/4/0/1/3/4/5/4/6dfb2a5ac1934ff19162d2932533a64a731a5dfcb229450b2b85790e440b0ad209b373b3567117dfc2b3df684e5854d7.jpg","Whatsapp","Turyap Homeros","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/4/8/9/5/1/91ddb423-ef3b-4df8-b66d-4be9b1516a29.jpg"
"https://www.hepsiemlak.com/izmir-buca-kurucesme-kiralik/daire/150731-29","17","23.000","17-10-2025","Kiralık Daire","1 +
                          1","60 m²","4
                        Yaşında","2. Kat","Aven Den Üniversite Karşısı Balkonlu Eşyalı Doğalgazlı Kiralık","İzmir / Buca / Kuruçeşme Mah.","https://www.hepsiemlak.com/emlak-ofisi/aven-gayrimenkul-danismanlik-insaat-sanayi-ve-tica-150731/aven-gayrimenkul-danismanlik-insaat-sana-sirketi-4260232","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/0/2/2/6/3/5/4/9d2b5fc7-14a5-4fa8-9d7d-a6e8d7a0af01.jpg","Whatsapp","Aven Gayrimenkul Danışmanlık İnşaat Sanayi Ve Tica","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/3/2/0/6/2/4/6f00276e-622e-4912-bc45-1c8d41b44202.jpg"
"https://www.hepsiemlak.com/izmir-seferihisar-camikebir-kiralik/daire/74061-418","36","30.000","29-09-2025","Kiralık Daire","3 +
                          1","130 m²","15
                        Yaşında","2. Kat","Seferihisar Merkez De Kapalı Mutfak Kiralık 3+1 Daire","İzmir / Seferihisar / Camikebir Mah.","https://www.hepsiemlak.com/emlak-ofisi/binax-seferihisar-74061","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/9/5/3/3/5/4/ccb05aa0-bc39-4247-94cf-a255708dbd2c.jpg","Whatsapp","Binax Seferihisar","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/6/0/4/7/0/6dc08e33-0b41-452d-b69e-b31310b5e5a9.jpg"
"https://www.hepsiemlak.com/izmir-karsiyaka-mustafa-kemal-kiralik/daire/147149-264","34","36.500","28-09-2025","Kiralık Daire","3 +
                          1","116 m²","17
                        Yaşında","3. Kat","Karşıyaka Yüksek Vadi Evlerinde Boyalı Temiz Kiralık 3+1 Daire","İzmir / Karşıyaka / Mustafa Kemal Mah.","https://www.hepsiemlak.com/emlak-ofisi/turyap-karsiyaka-girne-147149","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/4/1/7/4/1/0ad22e03-d335-47ae-88c9-78ea6dc815da.jpg","Whatsapp","Turyap Karşıyaka Girne",""
"https://www.hepsiemlak.com/izmir-buca-karacaagac-kiralik/mustakil-ev/158445-173","58","105.000","05-11-2025","Kiralık Müstakil Ev","5 +
                          2","400 m²","1
                        Yaşında","","Buca Karacagacta 10dönüm Arazi Ve 2katlı Havuzlu Ful Esyalı Ev","İzmir / Buca / Karacaağaç Mah.","https://www.hepsiemlak.com/emlak-ofisi/startkey-akin-158445","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/4/4/8/5/1/bf94c2a9-2803-43c6-8152-54e8e49fd6ee.jpg","Whatsapp","Startkey Akın",""
"https://www.hepsiemlak.com/izmir-torbali-ertugrul-kiralik/villa/162087-7","38","65.000","11-10-2025","Kiralık Villa","3 +
                          2","250 m²","26
                        Yaşında","Bahçe Katı","Torbalı Ertuğrul Mahallesinde Kiralık Tripleks Villa..","İzmir / Torbalı / Ertuğrul Mah.","https://www.hepsiemlak.com/emlak-ofisi/menekse-gayrimenkul-162087","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","Whatsapp","Menekşe Gayrimenkul",""
"https://www.hepsiemlak.com/izmir-buca-yildiz-kiralik/daire/143820-17","18","31.000","18-10-2025","Kiralık Daire","3 +
                          0","100 m²","16
                        Yaşında","3. Kat","Düştü 27.000 ,Yıldız Mah Üniversite Bölgesi 3+0 Eşyalı Doğalgazlı Ara Kat","İzmir / Buca / Yıldız Mah.","https://www.hepsiemlak.com/emlak-ofisi/izmir-buca-emlak-143820","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","İzmir Buca Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-konak-kultur-kiralik/daire/161217-16","35","35.000","24-11-2025","Kiralık Daire","3 +
                          1","120 m²","36
                        Yaşında","4. Kat","Alsancak Talatpaşa Blv. ,Merkezi Konumda; Asansörlü 3+1 Kiralık","İzmir / Konak / Kültür Mah.","https://www.hepsiemlak.com/emlak-ofisi/crea-gayrimenkul-161217","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Crea Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-karsiyaka-bostanli-kiralik/daire/120891-84","60","29.500","29-11-2025","Kiralık Daire","2 +
                          1","110 m²","26
                        Yaşında","3. Kat","Bostanlı Şehitler Bulvar Arkası İzban Yakını Tadilatlı 2+1 Daire","İzmir / Karşıyaka / Bostanlı Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","",""
"https://www.hepsiemlak.com/izmir-karaburun-bozkoy-kiralik/ciftlik-evi/153675-270","35","63.000","15-09-2025","Kiralık Çiftlik Evi","2 +
                          1","150 m²","11
                        Yaşında","","Ruhunuzun Konser Alanı, Yaratıcılığınızın Yuvası - Karaburun Bozköy","İzmir / Karaburun / Bozköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/startkey-premium-gayrimenkul-153675","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Startkey Premıum Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-odemis-akincilar-kiralik/daire/80873-815","39","17.500","24-11-2025","Kiralık Daire","3 +
                          1","135 m²","16
                        Yaşında","En Üst Kat","Ödemiş Gayrimenkulden Kiralık Daire","İzmir / Ödemiş / Akıncılar Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","",""
"https://www.hepsiemlak.com/izmir-cesme-reisdere-kiralik/villa/116587-533","40","1.150.000","25-10-2025","Kiralık Villa","3 +
                          1","150 m²","4
                        Yaşında","","Royal Emlak Reisdere Yıllık 3+1  Eşyalı Havuzlu Villa","İzmir / Çeşme / Reisdere Mah.","https://www.hepsiemlak.com/emlak-ofisi/royal-alacati-gayrimenkul-116587","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Royal Alaçatı Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-karsiyaka-bostanli-kiralik/daire/119979-1783","60","36.000","28-11-2025","Kiralık Daire","3 +
                          1","120 m²","31
                        Yaşında","2. Kat","Fidem'den Bostanlı Dereboyu Yakını 3+1 Daire","İzmir / Karşıyaka / Bostanlı Mah.","https://www.hepsiemlak.com/emlak-ofisi/startkey-puzzle-119979","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Startkey Puzzle","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-karsiyaka-aksoy-kiralik/daire/162799-5","27","27.500","04-12-2025","Kiralık Daire","2 +
                          1","100 m²","21
                        Yaşında","5. Kat","Aksoy Mah . 2+1 Çift Cehpe Doğalgazlı Tadilatlı Kiralık Daire","İzmir / Karşıyaka / Aksoy Mah.","https://www.hepsiemlak.com/emlak-ofisi/tm-gayrimenkul-162799/aysan-kilic-4547975","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Tm Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-cigli-yeni-mahalle-kiralik/daire/57038-1952","20","20.000","28-10-2025","Kiralık Daire","2 +
                          1","70 m²","18
                        Yaşında","3. Kat","Çiğli Eski Havaalanı Cd. Tramway Yolu Üzerinde Kiralık 2+1 Daire","İzmir / Çiğli / Yeni Mahalle Mah.","https://www.hepsiemlak.com/emlak-ofisi/eskidji-atasehir-bolge-ortakligi-57038","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Eskıdjı Ataşehir Bölge Ortaklığı","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-bergama-ertugrul-kiralik/daire/135905-262","11","26.000","27-11-2025","Kiralık Daire","3 +
                          1","110 m²","21
                        Yaşında","3. Kat","Bergama Ertugrul Mah. Merkezi Konumda 3+1 Eşyalı Kiralık Daire","İzmir / Bergama / Ertuğrul Mah.","https://www.hepsiemlak.com/emlak-ofisi/turpa-karazeybek-gayrimenkul-135905/ismail-karazeybek-3660349","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Turpa Karazeybek Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-buca-adatepe-kiralik/daire/144273-210","11","23.000","06-11-2025","Kiralık Daire","2 +
                          1","65 m²","5
                        Yaşında","Ara Kat","One House Gayrimenkulden 2+1 Eşyalı Kiralık Daire","İzmir / Buca / Adatepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/one-house-real-estate-144273","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","One House Real Estate","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-selcuk-14-mayis-kiralik/daire/132456-1557","11","22.000","05-11-2025","Kiralık Daire","2 +
                          1","100 m²","4
                        Yaşında","1. Kat","İzmir Selçuk 14 Mayıs Mahallesinde Kiralık 2+1 Daire","İzmir / Selçuk / 14 Mayıs Mah.","https://www.hepsiemlak.com/emlak-ofisi/armina-group-gayrimenkul-danismanligi-132456","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Armina Group Gayrimenkul Danışmanlığı","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-cigli-cagdas-kiralik/daire/90478-2389","31","24.000","01-11-2025","Kiralık Daire","3 +
                          1","117 m²","26
                        Yaşında","Yüksek Giriş","Egekent Çağdaş Mahallesinde Kiralık 3+1 Ferah Daire","İzmir / Çiğli / Çağdaş Mah.","https://www.hepsiemlak.com/emlak-ofisi/startkey-alfa-90478","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Startkey Alfa","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-gaziemir-beyazevler-kiralik/daire/72560-2101","25","45.000","25-11-2025","Kiralık Daire","3 +
                          1","200 m²","3
                        Yaşında","6. Kat","Zeta'dan Gaziemir Beyazevler Mh. Apt. Dubleksi Teraslı 3+1","İzmir / Gaziemir / Beyazevler Mah.","https://www.hepsiemlak.com/emlak-ofisi/zeta-emlak-72560/gokhan-alpacar-1381078","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Zeta Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-cigli-kucuk-cigli-kiralik/daire/74706-887","34","20.000","13-11-2025","Kiralık Daire","1 +
                          1","50 m²","Sıfır Bina","5. Kat","Sekans'dan Black Suıts 1cd Üzeri Katip Çelebi Yakını 50 M2 Sıfır 1+1","İzmir / Çiğli / Küçük Çiğli Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","",""
"https://www.hepsiemlak.com/izmir-bornova-kazimdirik-kiralik/daire/23537-2273","19","35.000","14-10-2025","Kiralık Daire","2 +
                          1","100 m²","35
                        Yaşında","4. Kat","Bornova Büyükpark ,Evlendirme Dairesi Karşısı Süper Konumlu Eşyalı,Köşe  Daire,Asansörlü","İzmir / Bornova / Kazımdirik Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","",""
"https://www.hepsiemlak.com/izmir-odemis-zafer-kiralik/daire/133481-317","13","21.000","03-12-2025","Kiralık Daire","2 +
                          1","105 m²","Sıfır Bina","2. Kat","Duha'dan Zafer Mahallesinde Sıfır Ve Lüks Kiralık Daire!!!!!","İzmir / Ödemiş / Zafer Mah.","https://www.hepsiemlak.com/emlak-ofisi/duha-yapi-ve-gayrimenkul-133481","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Duha Yapı Ve Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
